sample,outer_fold,n_train_rows,n_test_rows,n_train_galaxies,n_test_galaxies,kernel_feature,kernel_inner_rmse,global_model,global_features,global_inner_rmse,logXsat,saturation_inner_rmse,ridge_alpha,alpha_kernel_base,beta_radius_base,gamma_local_base,beta_x,gamma_x,g_dagger_fold,coef_kernel_standardized,coef_radius_standardized,coef_local_disk_standardized,coef_saturation_standardized,elapsed_seconds
Q1,0,1486,373,79,20,log_F_W_dyn_bar_lam_0p25,0.33118066068158397,plus_Mgas_Rdisk,"log_Mgas_Msun,log_Rdisk_kpc",0.31538062917231574,3.0,0.3131907707113218,1.7575106248547894,0.19748177802182237,0.06951944079530586,0.15267011414943507,0.06951944079530586,0.15267011414943507,1.1179168359386781e-10,0.5868775350229836,-0.11811582942469208,0.08851346674480046,-0.2758490235298266,35.57328796386719
Q1,1,1492,367,80,19,log_F_W_dyn_bar_lam_0p25,0.31901937724924156,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",0.31685945075802774,4.0,0.3162916180634663,24.420530945486497,0.18605099873883763,0.08759052934803851,0.13656877247448168,0.08759052934803851,0.13656877247448168,1.1934823426241497e-10,0.29588098368406573,-0.0498629340107495,0.10808080810510476,-0.06891789027481532,25.388518571853638
Q1,2,1485,374,79,20,log_F_W_dyn_bar_lam_0p25,0.3094464243006557,plus_Mgas_Rdisk,"log_Mgas_Msun,log_Rdisk_kpc",0.29951288521955866,-1.0,0.29948701287217944,11.513953993264458,0.20242745730233286,0.10599519304758259,0.1628445774669759,0.10599519304758259,0.1628445774669759,1.4042371433563606e-10,0.15440703042591258,-0.06508804222016523,0.059961445273781694,0.14807966784540655,24.670156478881836
Q1,3,1486,373,79,20,log_F_W_dyn_bar_lam_0p25,0.3144662380847046,plus_Mgas_Rdisk,"log_Mgas_Msun,log_Rdisk_kpc",0.3097986244279306,3.6000000000000005,0.30820413638338706,5.428675439323859,0.19596516096185898,0.06383431634277326,0.148705365978607,0.06383431634277326,0.148705365978607,1.2029635881865625e-10,0.39279983731194873,-0.08206885890461972,0.1039445310655248,-0.1208417841257371,26.04918360710144
Q1,4,1487,372,79,20,log_F_W_dyn_bar_lam_0p25,0.3247154554255822,plus_Mgas_Rdisk,"log_Mgas_Msun,log_Rdisk_kpc",0.31208210051533014,2.8000000000000003,0.31099430552173146,3.727593720314938,0.15239637522144336,0.18438316994311055,0.18210298082959236,0.18438316994311055,0.18210298082959236,1.108658226566529e-10,0.5361980530401282,-0.06619006724664085,0.12767140736335125,-0.2672842329260805,25.74031162261963
Q12,0,2246,559,132,31,log_F_W_dyn_bar_lam_0p25,0.32717033303547066,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",0.316447189237018,2.8000000000000003,0.3136479070877684,7.9060432109076855,0.2655771455855691,0.029502245022065943,0.11457734644785181,0.029502245022065943,0.11457734644785181,1.2330038711387563e-10,0.49218318378585224,-0.11143511838166566,0.07340831537192341,-0.25522178009593266,25.059924840927124
Q12,1,2243,562,130,33,log_F_W_dyn_bar_lam_0p5,0.3569296969217118,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",0.34449591997122436,1.8000000000000003,0.3430299089492948,1.2067926406393288,0.2499023081399126,0.05492535193877776,0.13029500642900227,0.05492535193877776,0.13029500642900227,1.3611290811265743e-10,1.1118779549169109,-0.08911013422289497,0.1921807242765788,-0.8922835907410283,27.509833812713623
Q12,2,2243,562,130,33,log_F_W_dyn_bar_lam_0p25,0.36878278182073926,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",0.35671915608262084,2.6,0.3463486193172488,0.0001,0.26043955393127105,-0.02861846643263026,0.09675743575466997,-0.02861846643263026,0.09675743575466997,1.2852156407859416e-10,0.8961183757823982,-0.196839546676737,0.07651943690083396,-0.6725510522426813,26.344547510147095
Q12,3,2244,561,130,33,log_F_W_dyn_bar_lam_0p5,0.34075489223834876,plus_global_full,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",0.3325101724794592,1.6,0.3315197549461848,0.5689866029018293,0.2576967916706812,0.034471387838554565,0.11139705853158026,0.034471387838554565,0.11139705853158026,1.4752852496490663e-10,1.265543398852238,-0.08972627826540658,0.19298896315845152,-1.0650389104495166,26.591805934906006
Q12,4,2244,561,130,33,log_F_W_dyn_bar_lam_0p5,0.3361684760739402,plus_global_full,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",0.3220147775784472,2.2,0.3184490290895425,0.2682695795279725,0.25716382288800016,0.024981951005968603,0.12066212822831496,0.024981951005968603,0.12066212822831496,1.3343172599592763e-10,1.0646072908321036,-0.14354746525381706,0.13347376986039655,-0.7577159942957772,25.16275978088379
