Galaxy,T,D_Mpc,e_D_Mpc,f_D,Inc_deg,e_Inc_deg,L36_1e9_Lsun,e_L36_1e9_Lsun,Reff_kpc,SBeff_Lsun_pc2,Rdisk_kpc,SBdisk_Lsun_pc2,MHI_1e9_Msun,RHI_kpc,Vflat_kms,e_Vflat_kms,Q,Ref,L36_Lsun,e_L36_Lsun,MHI_Msun,Mstar_Msun,Mgas_Msun,Mbar_Msun,gas_fraction,has_Vflat,valid_BTFR_basic
CamB,10,3.36,0.26,2,65.0,5.0,0.075,0.003,1.21,7.89,0.47,66.2,0.012,1.21,0.0,0.0,2,Bm03,75000000.0,3000000.0,12000000.0,37500000.0,15960000.0,53460000.0,0.29854096520763185,False,False
D512-2,10,15.2,4.56,1,56.0,10.0,0.325,0.022,2.37,9.22,1.24,93.94,0.081,0.0,0.0,0.0,2,Tr09,325000000.0,22000000.0,81000000.0,162500000.0,107730000.0,270230000.0,0.39866040039965955,False,False
D564-8,10,8.79,0.28,2,63.0,7.0,0.033,0.004,0.72,10.11,0.61,21.13,0.029,0.0,0.0,0.0,2,Tr09,33000000.0,4000000.0,29000000.0,16500000.0,38570000.0,55070000.0,0.7003813328491011,False,False
D631-7,10,7.72,0.18,2,59.0,3.0,0.196,0.009,1.22,20.93,0.7,115.04,0.29,0.0,57.7,2.7,1,"Tr09,dB01",196000000.0,9000000.0,290000000.0,98000000.0,385700000.0,483700000.0,0.7973950795947902,True,True
DDO064,10,6.8,2.04,1,60.0,5.0,0.157,0.007,1.2,17.41,0.69,151.65,0.211,3.49,46.1,3.9,1,"dB02,Sw02",157000000.0,7000000.0,211000000.0,78500000.0,280630000.0,359130000.0,0.7814162002617436,True,True
DDO154,10,4.04,0.2,2,64.0,3.0,0.053,0.002,0.65,19.99,0.37,71.26,0.275,4.96,47.0,1.0,2,"Be91,CB89",53000000.0,2000000.0,275000000.0,26500000.0,365750000.0,392250000.0,0.9324410452517528,True,True
DDO161,10,7.5,2.25,1,70.0,10.0,0.548,0.015,2.04,20.74,1.22,169.37,1.378,10.69,66.3,1.9,1,Co00,548000000.0,15000000.0,1378000000.0,274000000.0,1832740000.0,2106740000.0,0.8699412362227897,True,True
DDO168,10,4.25,0.21,2,63.0,6.0,0.191,0.005,1.29,18.23,1.02,92.22,0.413,4.3,53.4,1.9,2,"Sa96,Br92",191000000.0,5000000.0,413000000.0,95500000.0,549290000.0,644790000.0,0.8518897625583524,True,True
DDO170,10,15.4,4.62,1,66.0,7.0,0.543,0.03,3.03,9.39,1.95,73.93,0.735,9.14,60.0,1.6,2,"Be91,La90",543000000.0,30000000.0,735000000.0,271500000.0,977550000.0,1249050000.0,0.7826348024498619,True,True
ESO079-G014,4,28.7,7.17,1,79.0,5.0,51.733,0.524,7.23,157.34,5.08,2295.25,3.14,17.67,175.0,3.5,1,Ge04,51733000000.0,524000000.0,3140000000.0,25866500000.0,4176200000.0,30042700000.0,0.13900881079263847,True,True
ESO116-G012,7,13.0,3.9,1,74.0,3.0,4.292,0.071,2.75,90.54,1.51,1320.78,1.083,9.58,109.1,3.1,1,Ge04,4292000000.0,71000000.0,1083000000.0,2146000000.0,1440390000.0,3586390000.0,0.4016267054057144,True,True
ESO444-G084,10,4.83,0.48,2,32.0,6.0,0.071,0.003,0.75,19.81,0.46,66.81,0.135,2.95,0.0,0.0,2,Co00,71000000.0,3000000.0,135000000.0,35500000.0,179550000.0,215050000.0,0.8349221111369449,False,False
ESO563-G021,4,60.8,9.1,1,83.0,3.0,311.177,2.579,10.59,429.37,5.45,6558.89,24.298,55.71,314.6,11.7,1,SG06,311177000000.0,2579000000.0,24298000000.0,155588500000.0,32316340000.0,187904840000.0,0.17198247793936547,True,True
F561-1,9,66.4,10.0,1,24.0,10.0,4.077,0.327,5.39,22.12,2.79,93.07,1.622,10.69,50.0,2.9,3,"dB97,dB96",4077000000.0,327000000.0,1622000000.0,2038500000.0,2157260000.0,4195760000.0,0.5141523824050946,True,True
