Galaxy,r_kpc,Vobs_kms,e_Vobs_kms,Vgas_kms,Vdisk_kms,Vbul_kms,SBdisk,SBbul,source_file,line_no,n_columns,D_Mpc,Inc_deg,L36_Lsun,MHI_Msun,Mbar_Msun,gas_fraction,Rdisk_kpc,SBdisk_Lsun_pc2,Vflat_kms,Q,Vbar2_kms2,Vbar_kms,Vobs2_kms2,C_kms2,g_obs_m_s2,g_bar_m_s2,D_DM,log_g_obs,log_g_bar,log_D_DM,valid_acceleration,g_rar_pred_m_s2,log_g_rar_pred,rar_residual_dex,baryon_only_residual_dex
CamB,0.16,1.99,1.5,1.86,3.75,0.0,30.32,0.0,CamB_rotmod.dat,4,8,3.36,65.0,75000000.0,12000000.0,53460000.0,0.29854096520763185,0.47,66.2,0.0,2,10.49085,3.2389581658304882,3.9601,-6.530749999999999,8.021131290080394e-13,2.124908088041714e-12,0.37748132896762415,-12.09576437505865,-11.672659850422885,-0.4231045246357636,True,1.7932086826021486e-11,-10.746369166974954,-1.3493952080836955,-0.42310452463576453
CamB,0.41,4.84,1.5,4.24,9.47,0.0,23.77,0.0,CamB_rotmod.dat,5,8,3.36,65.0,75000000.0,12000000.0,53460000.0,0.29854096520763185,0.47,66.2,0.0,2,62.81805000000001,7.925783872904939,23.4256,-39.39245000000001,1.851639007873364e-12,4.965352083982456e-12,0.3729119257920294,-11.732443678653048,-11.304049951053917,-0.4283937275991319,True,2.8315852406025703e-11,-10.547970360060367,-1.1844733185926817,-0.42839372759913097
CamB,0.57,6.79,1.5,5.61,11.76,0.0,15.87,0.0,CamB_rotmod.dat,6,8,3.36,65.0,75000000.0,12000000.0,53460000.0,0.29854096520763185,0.47,66.2,0.0,2,100.6209,10.03099695942532,46.1041,-54.5168,2.6212844287451225e-12,5.72087945272373e-12,0.45819606065936597,-11.581485852333627,-11.242537203356246,-0.3389486489773811,True,3.0602450648647295e-11,-10.514243793761274,-1.0672420585723525,-0.33894864897738053
CamB,0.73,8.87,1.5,6.77,13.72,0.0,12.4,0.0,CamB_rotmod.dat,7,8,3.36,65.0,75000000.0,12000000.0,53460000.0,0.29854096520763185,0.47,66.2,0.0,2,139.9521,11.830135248592892,78.67689999999999,-61.27520000000001,3.4928009325710326e-12,6.213066673893792e-12,0.5621701996611697,-11.456826165679141,-11.206693985844668,-0.2501321798344733,True,3.202612865459428e-11,-10.494495556046196,-0.9623306096329447,-0.25013217983447333
CamB,0.9,10.9,1.5,7.77,14.8,0.0,9.63,0.0,CamB_rotmod.dat,8,8,3.36,65.0,75000000.0,12000000.0,53460000.0,0.29854096520763185,0.47,66.2,0.0,2,169.8929,13.034297065818317,118.81,-51.082899999999995,4.278188748654278e-12,6.11761546381825e-12,0.6993229263847991,-11.368740058780215,-11.213417825028744,-0.15532223375147242,True,3.175369800136384e-11,-10.49820568996051,-0.8705343688197047,-0.15532223375147147
CamB,1.06,12.9,1.5,8.44,15.24,0.0,5.86,0.0,CamB_rotmod.dat,9,8,3.36,65.0,75000000.0,12000000.0,53460000.0,0.29854096520763185,0.47,66.2,0.0,2,187.36239999999998,13.68803857387902,166.41,-20.952399999999983,5.087717750532423e-12,5.728303637175385e-12,0.8881717996780573,-11.293476989888411,-11.241973969671085,-0.05150302021732659,True,3.062428572950891e-11,-10.513934031847015,-0.7795429580413966,-0.05150302021732678
CamB,1.22,14.7,1.5,8.64,15.11,0.0,5.19,0.0,CamB_rotmod.dat,10,8,3.36,65.0,75000000.0,12000000.0,53460000.0,0.29854096520763185,0.47,66.2,0.0,2,188.80565,13.740656825639741,216.08999999999997,27.28434999999996,5.7401639070166624e-12,5.0153888545088644e-12,1.1445102410865353,-11.241075706400535,-11.299695389498883,0.058619683098348634,True,2.8471514334430806e-11,-10.54558943311308,-0.6954862732874556,0.05861968309834786
CamB,1.47,16.8,1.5,8.08,15.9,0.0,3.02,0.0,CamB_rotmod.dat,11,8,3.36,65.0,75000000.0,12000000.0,53460000.0,0.29854096520763185,0.47,66.2,0.0,2,191.6914,13.84526633907777,282.24,90.54860000000002,6.222296235733182e-12,4.226051150235344e-12,1.4723665224417999,-11.20604931651859,-11.374065250745485,0.16801593422689584,True,2.5934610316569685e-11,-10.586120273162392,-0.6199290433561977,0.16801593422689542
CamB,1.79,20.1,1.5,6.91,14.91,0.0,0.88,0.0,CamB_rotmod.dat,12,8,3.36,65.0,75000000.0,12000000.0,53460000.0,0.29854096520763185,0.47,66.2,0.0,2,158.90215,12.60563961090432,404.01000000000005,245.10785000000004,7.314565590661553e-12,2.8769094791518544e-12,2.542508078084532,-11.135811461361055,-11.541073802803215,0.40526234144216206,True,2.1076667469486123e-11,-10.676198056363978,-0.4596134049970768,0.40526234144216033
D512-2,0.96,22.9,2.71,4.08,14.85,0.0,16.45,0.0,D512-2_rotmod.dat,4,8,15.2,56.0,325000000.0,81000000.0,270230000.0,0.39866040039965955,1.24,93.94,0.0,2,126.90764999999999,11.265329555765334,524.41,397.50235,1.770309444976583e-11,4.2841633728338964e-12,4.132217403757774,-10.751950813581931,-11.368133976083088,0.6161831625011569,True,2.6127758299596743e-11,-10.582897850122599,-0.16905296345933252,0.6161831625011569
