selection_mode,sample,kernel_variant,selected_global_model,count,fraction
frozen_reference,Q1,abs_leave_one_out,plus_Mbar_Rdisk,1,0.2
frozen_reference,Q1,abs_leave_one_out,plus_Mgas_Rdisk,4,0.8
frozen_reference,Q1,abs_self_dlnr,plus_Mbar_Rdisk,1,0.2
frozen_reference,Q1,abs_self_dlnr,plus_Mgas_Rdisk,4,0.8
frozen_reference,Q1,current_abs_self_uniform,plus_Mbar_Rdisk,1,0.2
frozen_reference,Q1,current_abs_self_uniform,plus_Mgas_Rdisk,4,0.8
frozen_reference,Q1,signed_self_uniform,plus_Mbar_Rdisk,1,0.2
frozen_reference,Q1,signed_self_uniform,plus_Mgas_Rdisk,4,0.8
frozen_reference,Q12,abs_leave_one_out,plus_Mbar_Rdisk,3,0.6
frozen_reference,Q12,abs_leave_one_out,plus_global_full,2,0.4
frozen_reference,Q12,abs_self_dlnr,plus_Mbar_Rdisk,3,0.6
frozen_reference,Q12,abs_self_dlnr,plus_global_full,2,0.4
frozen_reference,Q12,current_abs_self_uniform,plus_Mbar_Rdisk,3,0.6
frozen_reference,Q12,current_abs_self_uniform,plus_global_full,2,0.4
frozen_reference,Q12,signed_self_uniform,plus_Mbar_Rdisk,3,0.6
frozen_reference,Q12,signed_self_uniform,plus_global_full,2,0.4
frozen_reference,Q123,abs_leave_one_out,plus_Mbar_Rdisk,3,0.6
frozen_reference,Q123,abs_leave_one_out,plus_global_full,2,0.4
frozen_reference,Q123,abs_self_dlnr,plus_Mbar_Rdisk,3,0.6
frozen_reference,Q123,abs_self_dlnr,plus_global_full,2,0.4
frozen_reference,Q123,current_abs_self_uniform,plus_Mbar_Rdisk,3,0.6
frozen_reference,Q123,current_abs_self_uniform,plus_global_full,2,0.4
frozen_reference,Q123,signed_self_uniform,plus_Mbar_Rdisk,3,0.6
frozen_reference,Q123,signed_self_uniform,plus_global_full,2,0.4
fully_reselected,Q1,abs_leave_one_out,plus_Mbar_Rdisk,1,0.2
fully_reselected,Q1,abs_leave_one_out,plus_Mgas_Rdisk,4,0.8
fully_reselected,Q1,abs_self_dlnr,plus_Mbar_Rdisk,1,0.2
fully_reselected,Q1,abs_self_dlnr,plus_Mgas_Rdisk,4,0.8
fully_reselected,Q1,current_abs_self_uniform,plus_Mbar_Rdisk,1,0.2
fully_reselected,Q1,current_abs_self_uniform,plus_Mgas_Rdisk,4,0.8
fully_reselected,Q1,signed_self_uniform,plus_Mbar_Rdisk,1,0.2
fully_reselected,Q1,signed_self_uniform,plus_Mgas_Rdisk,4,0.8
fully_reselected,Q12,abs_leave_one_out,plus_Mbar_Rdisk,3,0.6
fully_reselected,Q12,abs_leave_one_out,plus_global_full,2,0.4
fully_reselected,Q12,abs_self_dlnr,plus_Mbar_Rdisk,2,0.4
fully_reselected,Q12,abs_self_dlnr,plus_Mgas_Rdisk,1,0.2
fully_reselected,Q12,abs_self_dlnr,plus_global_full,2,0.4
fully_reselected,Q12,current_abs_self_uniform,plus_Mbar_Rdisk,3,0.6
fully_reselected,Q12,current_abs_self_uniform,plus_global_full,2,0.4
fully_reselected,Q12,signed_self_uniform,plus_Mbar_Rdisk,3,0.6
fully_reselected,Q12,signed_self_uniform,plus_global_full,2,0.4
fully_reselected,Q123,abs_leave_one_out,plus_Mbar_Rdisk,3,0.6
fully_reselected,Q123,abs_leave_one_out,plus_global_full,2,0.4
fully_reselected,Q123,abs_self_dlnr,plus_Mbar_Rdisk,3,0.6
fully_reselected,Q123,abs_self_dlnr,plus_global_full,2,0.4
fully_reselected,Q123,current_abs_self_uniform,plus_Mbar_Rdisk,3,0.6
fully_reselected,Q123,current_abs_self_uniform,plus_global_full,2,0.4
fully_reselected,Q123,signed_self_uniform,plus_Mbar_Rdisk,3,0.6
fully_reselected,Q123,signed_self_uniform,plus_global_full,2,0.4
