selection_mode,sample,kernel_variant,comparison,observed_delta_rmse_a_minus_b,ci95_low,ci95_high,fraction_a_better
frozen_reference,Q1,current_abs_self_uniform,variant_minus_current,0.0,0.0,0.0,0.0
frozen_reference,Q1,current_abs_self_uniform,variant_minus_foldfit_rar,-0.0012909027478402446,-0.005872333759706333,0.0032954151691688065,0.7098
frozen_reference,Q1,abs_leave_one_out,variant_minus_current,0.002394395481794598,-0.0007341560848472421,0.006312978279897044,0.0783
frozen_reference,Q1,abs_leave_one_out,variant_minus_foldfit_rar,0.0011034927339543532,-0.003733561726298603,0.005953950406871226,0.3202
frozen_reference,Q1,abs_self_dlnr,variant_minus_current,0.00023778518117653635,-0.0002866889038966952,0.0007116763934684074,0.176
frozen_reference,Q1,abs_self_dlnr,variant_minus_foldfit_rar,-0.0010531175666637083,-0.005658902390370886,0.003370105905374124,0.6783
frozen_reference,Q1,signed_self_uniform,variant_minus_current,-0.00015123697808278047,-0.0010655345353596025,0.0006370145365055556,0.6143
frozen_reference,Q1,signed_self_uniform,variant_minus_foldfit_rar,-0.001442139725923025,-0.005843970132846651,0.00296934915660435,0.7473
frozen_reference,Q12,current_abs_self_uniform,variant_minus_current,0.0,0.0,0.0,0.0
frozen_reference,Q12,current_abs_self_uniform,variant_minus_foldfit_rar,-0.00226929415063723,-0.011686675838785295,0.00730873209749888,0.6697
frozen_reference,Q12,abs_leave_one_out,variant_minus_current,0.0018201065865526833,0.0001360040275999258,0.003853356235534922,0.016
frozen_reference,Q12,abs_leave_one_out,variant_minus_foldfit_rar,-0.00044918756408454663,-0.009957475809829428,0.00901330052930157,0.5287
frozen_reference,Q12,abs_self_dlnr,variant_minus_current,-0.00017760262335275723,-0.00117554836594069,0.0006863598914804209,0.6336
frozen_reference,Q12,abs_self_dlnr,variant_minus_foldfit_rar,-0.002446896773989987,-0.012083908085603386,0.0071922344848712365,0.6841
frozen_reference,Q12,signed_self_uniform,variant_minus_current,-1.2371456822146687e-05,-0.00037376816338096085,0.0003597073827679202,0.5248
frozen_reference,Q12,signed_self_uniform,variant_minus_foldfit_rar,-0.0022816656074593766,-0.011885484399295316,0.007135827733985619,0.6826
frozen_reference,Q123,current_abs_self_uniform,variant_minus_current,0.0,0.0,0.0,0.0
frozen_reference,Q123,current_abs_self_uniform,variant_minus_foldfit_rar,-0.003632819799858411,-0.013339993420316014,0.00597117614001151,0.7684
frozen_reference,Q123,abs_leave_one_out,variant_minus_current,0.0015635862956943636,0.00034184509963248533,0.002886629083883545,0.0047
frozen_reference,Q123,abs_leave_one_out,variant_minus_foldfit_rar,-0.0020692335041640475,-0.011966007995905931,0.007993162021068645,0.6576
frozen_reference,Q123,abs_self_dlnr,variant_minus_current,-0.0006082062755765061,-0.0016844748920479256,0.0003707719763284859,0.8819
frozen_reference,Q123,abs_self_dlnr,variant_minus_foldfit_rar,-0.004241026075434917,-0.013845274536428823,0.005624178929950362,0.7924
frozen_reference,Q123,signed_self_uniform,variant_minus_current,-0.00015748360113398974,-0.00042243546990398603,6.368077085116758e-05,0.9094
frozen_reference,Q123,signed_self_uniform,variant_minus_foldfit_rar,-0.003790303400992401,-0.013690792173611835,0.006427421051721847,0.7631
fully_reselected,Q1,current_abs_self_uniform,variant_minus_current,0.0,0.0,0.0,0.0
fully_reselected,Q1,current_abs_self_uniform,variant_minus_foldfit_rar,-0.0012909027478402446,-0.0058387654830535035,0.003280071258860306,0.7041
fully_reselected,Q1,abs_leave_one_out,variant_minus_current,0.002394395481794598,-0.0007766675372750163,0.006263872631904399,0.0778
fully_reselected,Q1,abs_leave_one_out,variant_minus_foldfit_rar,0.0011034927339543532,-0.0038076722365829184,0.005886626291114638,0.3248
fully_reselected,Q1,abs_self_dlnr,variant_minus_current,0.00023778518117653635,-0.00028188424733294366,0.0007119724801951548,0.1715
fully_reselected,Q1,abs_self_dlnr,variant_minus_foldfit_rar,-0.0010531175666637083,-0.0056652583636535615,0.003469932354750974,0.6706
fully_reselected,Q1,signed_self_uniform,variant_minus_current,-0.00015123697808278047,-0.0010751875426876258,0.0006326744273286129,0.6188
fully_reselected,Q1,signed_self_uniform,variant_minus_foldfit_rar,-0.001442139725923025,-0.00581662135307471,0.002952658877132842,0.7425
fully_reselected,Q12,current_abs_self_uniform,variant_minus_current,0.0,0.0,0.0,0.0
fully_reselected,Q12,current_abs_self_uniform,variant_minus_foldfit_rar,-0.00226929415063723,-0.01169403057827683,0.007521174627622189,0.6739
fully_reselected,Q12,abs_leave_one_out,variant_minus_current,0.0014486407952239155,-0.0003029646905048394,0.0034976682182785625,0.0535
fully_reselected,Q12,abs_leave_one_out,variant_minus_foldfit_rar,-0.0008206533554133144,-0.01036086704438238,0.008764425213151262,0.5608
fully_reselected,Q12,abs_self_dlnr,variant_minus_current,0.0005601667437796498,-0.000988211911027799,0.0021285960126653683,0.2414
fully_reselected,Q12,abs_self_dlnr,variant_minus_foldfit_rar,-0.0017091274068575801,-0.01116981324607248,0.007840346240470716,0.638
fully_reselected,Q12,signed_self_uniform,variant_minus_current,-1.2371456822146687e-05,-0.00037670065820250356,0.0003637133856036783,0.5293
fully_reselected,Q12,signed_self_uniform,variant_minus_foldfit_rar,-0.0022816656074593766,-0.011735411072846046,0.007307129274457291,0.685
fully_reselected,Q123,current_abs_self_uniform,variant_minus_current,0.0,0.0,0.0,0.0
fully_reselected,Q123,current_abs_self_uniform,variant_minus_foldfit_rar,-0.003632819799858411,-0.013748294798374859,0.006543989549329466,0.7581
fully_reselected,Q123,abs_leave_one_out,variant_minus_current,0.0003828275142347404,-0.0011403514955730706,0.001900292162722792,0.3043
fully_reselected,Q123,abs_leave_one_out,variant_minus_foldfit_rar,-0.0032499922856236707,-0.013464374508213793,0.007301799603203112,0.729
fully_reselected,Q123,abs_self_dlnr,variant_minus_current,-0.0004479075409602462,-0.0016238431372132434,0.0006662946496793504,0.778
fully_reselected,Q123,abs_self_dlnr,variant_minus_foldfit_rar,-0.004080727340818657,-0.01375328905733062,0.005989024662239764,0.7895
fully_reselected,Q123,signed_self_uniform,variant_minus_current,-0.00015748360113398974,-0.000427424561900392,6.420749434631259e-05,0.909
fully_reselected,Q123,signed_self_uniform,variant_minus_foldfit_rar,-0.003790303400992401,-0.013332569492515926,0.006276290456854173,0.7649
