selection_mode,sample,kernel_variant,n_outer_folds,fraction_kernel_positive,fraction_radius_negative,fraction_local_disk_positive,kernel_coefficient_minimum,kernel_coefficient_median,kernel_coefficient_maximum
frozen_reference,Q1,abs_leave_one_out,5,1.0,0.8,1.0,0.17886653947304154,0.26111398376261047,0.3070617511426357
frozen_reference,Q1,abs_self_dlnr,5,1.0,1.0,1.0,0.19342635700629193,0.28434596155234054,0.33476688872623767
frozen_reference,Q1,current_abs_self_uniform,5,1.0,1.0,1.0,0.19785595493766872,0.29380935764748833,0.3403639100238901
frozen_reference,Q1,signed_self_uniform,5,1.0,1.0,1.0,0.19738238276506567,0.2939171857030354,0.3400033821027426
frozen_reference,Q12,abs_leave_one_out,5,1.0,1.0,1.0,0.24220492589238538,0.2492615624042384,0.3284610335578135
frozen_reference,Q12,abs_self_dlnr,5,1.0,1.0,1.0,0.24909065188634386,0.2552404237343855,0.30322160179353236
frozen_reference,Q12,current_abs_self_uniform,5,1.0,1.0,1.0,0.2572498804123608,0.26718525640343704,0.3241410903265983
frozen_reference,Q12,signed_self_uniform,5,1.0,1.0,1.0,0.2557106945920988,0.26705550735846745,0.3255622914900091
frozen_reference,Q123,abs_leave_one_out,5,1.0,1.0,1.0,0.2241008330106499,0.27148264309088727,0.3764279366846171
frozen_reference,Q123,abs_self_dlnr,5,1.0,1.0,0.6,0.22532161371663467,0.27329601841590845,0.3787587321346858
frozen_reference,Q123,current_abs_self_uniform,5,1.0,1.0,0.6,0.23590940931553978,0.27646105063120746,0.37890431461637986
frozen_reference,Q123,signed_self_uniform,5,1.0,1.0,0.6,0.2358467282220824,0.2752755650620073,0.3798616663814971
fully_reselected,Q1,abs_leave_one_out,5,1.0,0.8,1.0,0.17886653947304154,0.26111398376261047,0.3070617511426357
fully_reselected,Q1,abs_self_dlnr,5,1.0,1.0,1.0,0.19342635700629193,0.28434596155234054,0.33476688872623767
fully_reselected,Q1,current_abs_self_uniform,5,1.0,1.0,1.0,0.19785595493766872,0.29380935764748833,0.3403639100238901
fully_reselected,Q1,signed_self_uniform,5,1.0,1.0,1.0,0.19738238276506567,0.2939171857030354,0.3400033821027426
fully_reselected,Q12,abs_leave_one_out,5,1.0,1.0,1.0,0.24220492589238538,0.24895001584797571,0.30564090724687554
fully_reselected,Q12,abs_self_dlnr,5,1.0,1.0,1.0,0.2492962880409517,0.2626521138284595,0.35571592315376865
fully_reselected,Q12,current_abs_self_uniform,5,1.0,1.0,1.0,0.2572498804123608,0.26718525640343704,0.3241410903265983
fully_reselected,Q12,signed_self_uniform,5,1.0,1.0,1.0,0.2557106945920988,0.26705550735846745,0.3255622914900091
fully_reselected,Q123,abs_leave_one_out,5,1.0,1.0,0.8,0.23119594884071987,0.27148264309088727,0.3551653411188617
fully_reselected,Q123,abs_self_dlnr,5,1.0,1.0,0.8,0.22165446546302417,0.27329601841590845,0.3787587321346858
fully_reselected,Q123,current_abs_self_uniform,5,1.0,1.0,0.6,0.23590940931553978,0.27646105063120746,0.37890431461637986
fully_reselected,Q123,signed_self_uniform,5,1.0,1.0,0.6,0.2358467282220824,0.2752755650620073,0.3798616663814971
