selection_mode,sample,kernel_variant,selected_lambda,count,fraction
frozen_reference,Q1,abs_leave_one_out,0.25,5,1.0
frozen_reference,Q1,abs_self_dlnr,0.25,5,1.0
frozen_reference,Q1,current_abs_self_uniform,0.25,5,1.0
frozen_reference,Q1,signed_self_uniform,0.25,5,1.0
frozen_reference,Q12,abs_leave_one_out,0.25,2,0.4
frozen_reference,Q12,abs_leave_one_out,0.5,3,0.6
frozen_reference,Q12,abs_self_dlnr,0.25,2,0.4
frozen_reference,Q12,abs_self_dlnr,0.5,3,0.6
frozen_reference,Q12,current_abs_self_uniform,0.25,2,0.4
frozen_reference,Q12,current_abs_self_uniform,0.5,3,0.6
frozen_reference,Q12,signed_self_uniform,0.25,2,0.4
frozen_reference,Q12,signed_self_uniform,0.5,3,0.6
frozen_reference,Q123,abs_leave_one_out,0.25,2,0.4
frozen_reference,Q123,abs_leave_one_out,0.5,1,0.2
frozen_reference,Q123,abs_leave_one_out,0.75,2,0.4
frozen_reference,Q123,abs_self_dlnr,0.25,2,0.4
frozen_reference,Q123,abs_self_dlnr,0.5,1,0.2
frozen_reference,Q123,abs_self_dlnr,0.75,2,0.4
frozen_reference,Q123,current_abs_self_uniform,0.25,2,0.4
frozen_reference,Q123,current_abs_self_uniform,0.5,1,0.2
frozen_reference,Q123,current_abs_self_uniform,0.75,2,0.4
frozen_reference,Q123,signed_self_uniform,0.25,2,0.4
frozen_reference,Q123,signed_self_uniform,0.5,1,0.2
frozen_reference,Q123,signed_self_uniform,0.75,2,0.4
fully_reselected,Q1,abs_leave_one_out,0.25,5,1.0
fully_reselected,Q1,abs_self_dlnr,0.25,5,1.0
fully_reselected,Q1,current_abs_self_uniform,0.25,5,1.0
fully_reselected,Q1,signed_self_uniform,0.25,5,1.0
fully_reselected,Q12,abs_leave_one_out,0.25,4,0.8
fully_reselected,Q12,abs_leave_one_out,0.5,1,0.2
fully_reselected,Q12,abs_self_dlnr,0.5,4,0.8
fully_reselected,Q12,abs_self_dlnr,0.75,1,0.2
fully_reselected,Q12,current_abs_self_uniform,0.25,2,0.4
fully_reselected,Q12,current_abs_self_uniform,0.5,3,0.6
fully_reselected,Q12,signed_self_uniform,0.25,2,0.4
fully_reselected,Q12,signed_self_uniform,0.5,3,0.6
fully_reselected,Q123,abs_leave_one_out,0.25,4,0.8
fully_reselected,Q123,abs_leave_one_out,0.75,1,0.2
fully_reselected,Q123,abs_self_dlnr,0.25,1,0.2
fully_reselected,Q123,abs_self_dlnr,0.5,3,0.6
fully_reselected,Q123,abs_self_dlnr,1.0,1,0.2
fully_reselected,Q123,current_abs_self_uniform,0.25,2,0.4
fully_reselected,Q123,current_abs_self_uniform,0.5,1,0.2
fully_reselected,Q123,current_abs_self_uniform,0.75,2,0.4
fully_reselected,Q123,signed_self_uniform,0.25,2,0.4
fully_reselected,Q123,signed_self_uniform,0.5,1,0.2
fully_reselected,Q123,signed_self_uniform,0.75,2,0.4
