sample,kernel_variant,n_rows_reconstructed,n_galaxies_reconstructed,reconstructed_field_rmse,reconstructed_field_r2,n_rows_locked,n_galaxies_locked,field_rmse,field_r2,rmse_difference,r2_difference,field_metrics_exact
Q1,abs_leave_one_out,1859,99,0.3161808374982874,0.3837671874295252,1859,99,0.3161808374982874,0.3837671874295252,0.0,0.0,True
Q1,abs_self_dlnr,1859,99,0.31411748145381485,0.39178385826675277,1859,99,0.3141174814538148,0.3917838582667527,5.551115123125783e-17,5.551115123125783e-17,True
Q1,current_abs_self_uniform,1859,99,0.3132842836752982,0.395006170114342,1859,99,0.3132842836752982,0.395006170114342,0.0,0.0,True
Q1,signed_self_uniform,1859,99,0.31322750680286976,0.39522543770403684,1859,99,0.3132275068028697,0.3952254377040368,5.551115123125783e-17,5.551115123125783e-17,True
Q12,abs_leave_one_out,2805,163,0.33681371103680907,0.4219369456564883,2805,163,0.336813711036809,0.4219369456564883,5.551115123125783e-17,0.0,True
Q12,abs_self_dlnr,2805,163,0.33531294381598803,0.4270769104292018,2805,163,0.335312943815988,0.4270769104292018,5.551115123125783e-17,0.0,True
Q12,current_abs_self_uniform,2805,163,0.33510312716007334,0.42779368083492075,2805,163,0.3351031271600733,0.4277936808349207,5.551115123125783e-17,5.551115123125783e-17,True
Q12,signed_self_uniform,2805,163,0.33505548863581563,0.4279563598720395,2805,163,0.3350554886358156,0.4279563598720395,5.551115123125783e-17,0.0,True
Q123,abs_leave_one_out,2896,175,0.35991774915734664,0.4078458329858913,2896,175,0.3599177491573466,0.4078458329858913,5.551115123125783e-17,0.0,True
Q123,abs_self_dlnr,2896,175,0.3585930596433194,0.41219669856314,2896,175,0.3585930596433194,0.41219669856314,0.0,0.0,True
Q123,current_abs_self_uniform,2896,175,0.3587580082380418,0.4116558089638951,2896,175,0.3587580082380418,0.4116558089638951,0.0,0.0,True
Q123,signed_self_uniform,2896,175,0.35863048133913566,0.41207400938383765,2896,175,0.3586304813391356,0.4120740093838376,5.551115123125783e-17,5.551115123125783e-17,True
