sample,kernel_variant,outer_fold,selected_kernel_feature,selected_global_features,selected_ridge_alpha,n_train_rows,n_test_rows,reconstructed_test_rmse
Q1,current_abs_self_uniform,0,log_F__current_abs_self_uniform__lam_0p25,"log_Mgas_Msun,log_Rdisk_kpc",0.0001,1486,373,0.303120009983051
Q1,current_abs_self_uniform,1,log_F__current_abs_self_uniform__lam_0p25,"log_Mbar_Msun,log_Rdisk_kpc",75.43120063354607,1492,367,0.3047025441479109
Q1,current_abs_self_uniform,2,log_F__current_abs_self_uniform__lam_0p25,"log_Mgas_Msun,log_Rdisk_kpc",0.5689866029018293,1485,374,0.3361147475665432
Q1,current_abs_self_uniform,3,log_F__current_abs_self_uniform__lam_0p25,"log_Mgas_Msun,log_Rdisk_kpc",11.513953993264458,1486,373,0.3145007593023218
Q1,current_abs_self_uniform,4,log_F__current_abs_self_uniform__lam_0p25,"log_Mgas_Msun,log_Rdisk_kpc",3.727593720314938,1487,372,0.30657752182416187
Q1,abs_leave_one_out,0,log_F__abs_leave_one_out__lam_0p25,"log_Mgas_Msun,log_Rdisk_kpc",0.0001,1486,373,0.3007608932109868
Q1,abs_leave_one_out,1,log_F__abs_leave_one_out__lam_0p25,"log_Mbar_Msun,log_Rdisk_kpc",75.43120063354607,1492,367,0.30795188839490445
Q1,abs_leave_one_out,2,log_F__abs_leave_one_out__lam_0p25,"log_Mgas_Msun,log_Rdisk_kpc",7.906043210907685,1485,374,0.3410542951240214
Q1,abs_leave_one_out,3,log_F__abs_leave_one_out__lam_0p25,"log_Mgas_Msun,log_Rdisk_kpc",11.513953993264458,1486,373,0.32572564078227706
Q1,abs_leave_one_out,4,log_F__abs_leave_one_out__lam_0p25,"log_Mgas_Msun,log_Rdisk_kpc",11.513953993264458,1487,372,0.30331021205226605
Q1,abs_self_dlnr,0,log_F__abs_self_dlnr__lam_0p25,"log_Mgas_Msun,log_Rdisk_kpc",0.0001,1486,373,0.3037608352581694
Q1,abs_self_dlnr,1,log_F__abs_self_dlnr__lam_0p25,"log_Mbar_Msun,log_Rdisk_kpc",75.43120063354607,1492,367,0.30558077275714396
Q1,abs_self_dlnr,2,log_F__abs_self_dlnr__lam_0p25,"log_Mgas_Msun,log_Rdisk_kpc",1.2067926406393288,1485,374,0.33649617378535707
Q1,abs_self_dlnr,3,log_F__abs_self_dlnr__lam_0p25,"log_Mgas_Msun,log_Rdisk_kpc",11.513953993264458,1486,373,0.31563939240551453
Q1,abs_self_dlnr,4,log_F__abs_self_dlnr__lam_0p25,"log_Mgas_Msun,log_Rdisk_kpc",7.906043210907685,1487,372,0.30774347769734745
Q1,signed_self_uniform,0,log_F__signed_self_uniform__lam_0p25,"log_Mgas_Msun,log_Rdisk_kpc",0.0001,1486,373,0.30300988594756556
Q1,signed_self_uniform,1,log_F__signed_self_uniform__lam_0p25,"log_Mbar_Msun,log_Rdisk_kpc",75.43120063354607,1492,367,0.3046949092659455
Q1,signed_self_uniform,2,log_F__signed_self_uniform__lam_0p25,"log_Mgas_Msun,log_Rdisk_kpc",0.8286427728546842,1485,374,0.3357702789732598
Q1,signed_self_uniform,3,log_F__signed_self_uniform__lam_0p25,"log_Mgas_Msun,log_Rdisk_kpc",11.513953993264458,1486,373,0.314381362290445
Q1,signed_self_uniform,4,log_F__signed_self_uniform__lam_0p25,"log_Mgas_Msun,log_Rdisk_kpc",2.559547922699533,1487,372,0.3069063550276396
Q12,current_abs_self_uniform,0,log_F__current_abs_self_uniform__lam_0p25,"log_Mbar_Msun,log_Rdisk_kpc",24.420530945486497,2246,559,0.39151471366365614
Q12,current_abs_self_uniform,1,log_F__current_abs_self_uniform__lam_0p5,"log_Mbar_Msun,log_Rdisk_kpc",16.768329368110066,2243,562,0.30615076624886195
Q12,current_abs_self_uniform,2,log_F__current_abs_self_uniform__lam_0p25,"log_Mbar_Msun,log_Rdisk_kpc",24.420530945486497,2243,562,0.24708224551688823
Q12,current_abs_self_uniform,3,log_F__current_abs_self_uniform__lam_0p5,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",11.513953993264458,2244,561,0.33375592209700766
Q12,current_abs_self_uniform,4,log_F__current_abs_self_uniform__lam_0p5,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",11.513953993264458,2244,561,0.3772086751526005
Q12,abs_leave_one_out,0,log_F__abs_leave_one_out__lam_0p25,"log_Mbar_Msun,log_Rdisk_kpc",35.564803062231285,2246,559,0.39250458614054734
Q12,abs_leave_one_out,1,log_F__abs_leave_one_out__lam_0p5,"log_Mbar_Msun,log_Rdisk_kpc",16.768329368110066,2243,562,0.30602517668476603
Q12,abs_leave_one_out,2,log_F__abs_leave_one_out__lam_0p25,"log_Mbar_Msun,log_Rdisk_kpc",24.420530945486497,2243,562,0.24834067053993777
Q12,abs_leave_one_out,3,log_F__abs_leave_one_out__lam_0p5,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",11.513953993264458,2244,561,0.33878565823403334
